name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Jared Goff,QB,7,DET,114.0,260.5,-21.0,1.000,1.000,1.000,1.000,0.998,0.989,0.971,0.892,0.770,0.624,0.379,0.253,0.095,0.058,0.029,0.026
Jordan Love,QB,7,GB,116.0,260.5,-21.0,1.000,1.000,1.000,1.000,0.997,0.991,0.973,0.907,0.787,0.658,0.438,0.306,0.126,0.081,0.042,0.037
Tyler Shough,QB,7,NO,121.0,260.5,-21.0,1.000,1.000,1.000,1.000,0.998,0.993,0.980,0.924,0.829,0.713,0.512,0.388,0.187,0.131,0.065,0.059
Kyle Monangai,RB,21,CHI,113.0,115.5,-21.9,0.000,0.000,0.371,0.984,0.997,0.987,0.953,0.895,0.750,0.583,0.349,0.133,0.010,0.001,0.000,0.000
Aaron Jones Sr.,RB,21,MIN,119.0,115.5,-21.9,0.000,0.000,0.102,0.900,0.997,0.989,0.967,0.921,0.807,0.651,0.441,0.216,0.031,0.004,0.001,0.000
Tyrone Tracy Jr.,RB,21,NYG,122.0,115.5,-21.9,0.000,0.000,0.011,0.637,0.996,0.992,0.971,0.936,0.848,0.711,0.516,0.286,0.058,0.009,0.002,0.001
Jonathon Brooks,RB,21,CAR,124.0,115.5,-21.9,0.000,0.000,0.001,0.359,0.989,0.994,0.976,0.942,0.853,0.731,0.527,0.320,0.094,0.013,0.003,0.001
Jordan Mason,RB,21,MIN,125.0,115.5,-21.9,0.000,0.000,0.000,0.165,0.952,0.994,0.971,0.939,0.860,0.738,0.559,0.368,0.125,0.024,0.005,0.002
Jacory Croskey-Merritt,RB,21,WAS,126.0,115.5,-21.9,0.000,0.000,0.000,0.034,0.789,0.995,0.978,0.944,0.868,0.759,0.564,0.373,0.145,0.034,0.008,0.001
Keaton Mitchell,RB,21,LAC,128.0,115.5,-21.9,0.000,0.000,0.000,0.002,0.473,0.988,0.981,0.954,0.883,0.774,0.590,0.405,0.167,0.041,0.012,0.002
Josh Downs,WR,22,IND,98.0,127.5,-23.6,0.000,0.000,0.000,0.277,0.980,0.965,0.873,0.750,0.509,0.304,0.120,0.043,0.009,0.001,0.000,0.000
Michael Pittman Jr.,WR,22,PIT,102.0,127.5,-23.6,0.000,0.000,0.000,0.089,0.939,0.973,0.900,0.789,0.576,0.383,0.167,0.062,0.016,0.001,0.000,0.000
Makai Lemon,WR,22,PHI,103.0,127.5,-23.6,0.000,0.000,0.000,0.019,0.828,0.970,0.898,0.795,0.603,0.398,0.199,0.083,0.023,0.002,0.000,0.000
C.J. Stroud,QB,8,HOU,149.0,257.0,-24.5,1.000,1.000,1.000,1.000,1.000,0.999,0.996,0.985,0.957,0.922,0.839,0.768,0.590,0.509,0.379,0.359
Sam Darnold,QB,8,SEA,152.0,257.0,-24.5,1.000,1.000,1.000,1.000,1.000,0.999,0.996,0.986,0.963,0.934,0.857,0.788,0.614,0.543,0.427,0.405
Tyler Allgeier,RB,22,ARI,133.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.172,0.914,0.985,0.966,0.908,0.825,0.672,0.499,0.266,0.088,0.025,0.006
Woody Marks,RB,22,HOU,134.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.039,0.708,0.983,0.965,0.913,0.827,0.679,0.505,0.285,0.114,0.041,0.008
Alvin Kamara,RB,22,NO,135.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.006,0.412,0.981,0.969,0.917,0.834,0.689,0.529,0.309,0.125,0.037,0.009
Chris Rodriguez Jr.,RB,22,JAX,136.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.001,0.195,0.949,0.976,0.926,0.849,0.703,0.544,0.320,0.142,0.047,0.009
Dylan Sampson,RB,22,CLE,139.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.073,0.865,0.973,0.933,0.871,0.733,0.573,0.340,0.166,0.053,0.015
Isiah Pacheco,RB,22,DET,142.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.021,0.713,0.975,0.933,0.877,0.761,0.614,0.396,0.205,0.081,0.019
Jonah Coleman,RB,22,DEN,148.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.006,0.515,0.981,0.953,0.901,0.807,0.681,0.490,0.285,0.122,0.042
Wan’Dale Robinson,WR,23,TEN,108.0,124.0,-27.1,0.000,0.000,0.000,0.002,0.658,0.981,0.927,0.842,0.669,0.468,0.260,0.132,0.045,0.004,0.000,0.000
Jakobi Meyers,WR,23,JAX,111.0,124.0,-27.1,0.000,0.000,0.000,0.000,0.442,0.981,0.940,0.874,0.727,0.539,0.323,0.162,0.057,0.005,0.000,0.000
Chris Godwin Jr.,WR,23,TB,112.0,124.0,-27.1,0.000,0.000,0.000,0.000,0.244,0.978,0.948,0.892,0.734,0.555,0.347,0.186,0.069,0.009,0.000,0.000
Daniel Jones,QB,9,IND,159.0,253.5,-28.0,1.000,1.000,1.000,1.000,0.999,0.998,0.997,0.989,0.973,0.950,0.891,0.836,0.701,0.639,0.517,0.495
Bryce Young,QB,9,CAR,171.0,253.5,-28.0,0.000,0.047,0.797,0.999,1.000,1.000,1.000,0.994,0.983,0.967,0.932,0.897,0.798,0.750,0.657,0.639
Cam Ward,QB,9,TEN,172.0,253.5,-28.0,0.000,0.000,0.217,0.900,1.000,1.000,0.999,0.993,0.985,0.971,0.936,0.902,0.809,0.762,0.670,0.652
Tyjae Spears,RB,23,TEN,155.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.001,0.323,0.970,0.967,0.929,0.855,0.745,0.580,0.383,0.198,0.083
Brian Robinson Jr.,RB,23,ATL,156.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.910,0.966,0.932,0.858,0.760,0.565,0.378,0.221,0.095
James Conner,RB,23,ARI,157.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.749,0.971,0.942,0.873,0.777,0.593,0.399,0.222,0.095
Tank Bigsby,RB,23,PHI,158.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.501,0.946,0.938,0.878,0.793,0.620,0.427,0.257,0.116
Zach Charbonnet,RB,23,SEA,160.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.238,0.858,0.940,0.882,0.800,0.636,0.441,0.267,0.117
Braelon Allen,RB,23,NYJ,165.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.664,0.950,0.902,0.826,0.682,0.495,0.326,0.162
Ray Davis,RB,23,BUF,168.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.406,0.914,0.923,0.859,0.716,0.540,0.374,0.188
Mike Washington Jr.,RB,23,LV,174.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.192,0.817,0.926,0.874,0.760,0.599,0.425,0.243
Matthew Golden,WR,24,GB,123.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.095,0.939,0.974,0.942,0.851,0.729,0.538,0.346,0.184,0.056,0.010,0.005
Khalil Shakir,WR,24,BUF,129.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.034,0.820,0.981,0.956,0.886,0.784,0.615,0.443,0.264,0.098,0.017,0.010
Romeo Doubs,WR,24,NE,130.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.008,0.618,0.981,0.959,0.899,0.805,0.641,0.468,0.291,0.122,0.027,0.018
Kaytron Allen,RB,24,WAS,177.0,104.0,-33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.072,0.633,0.935,0.890,0.784,0.632,0.461,0.268
Emmett Johnson,RB,24,KC,178.0,103.8,-33.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.415,0.916,0.900,0.801,0.671,0.510,0.303
Nicholas Singleton,RB,24,TEN,179.0,103.5,-33.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.219,0.846,0.900,0.801,0.659,0.494,0.304
Xavier Worthy,WR,25,KC,131.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.002,0.400,0.974,0.959,0.903,0.809,0.648,0.472,0.288,0.131,0.042,0.022
Jayden Higgins,WR,25,HOU,132.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.220,0.959,0.959,0.897,0.807,0.650,0.487,0.310,0.144,0.043,0.024
De’Zhaun Stribling,WR,25,SF,137.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.093,0.901,0.972,0.920,0.849,0.716,0.561,0.389,0.216,0.086,0.059
Jalen Coker,WR,25,CAR,138.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.027,0.736,0.971,0.924,0.846,0.716,0.564,0.390,0.227,0.095,0.062
KC Concepcion,WR,25,CLE,140.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.005,0.507,0.967,0.933,0.865,0.742,0.600,0.431,0.261,0.127,0.084
Rashid Shaheed,WR,25,SEA,143.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.272,0.948,0.947,0.891,0.782,0.655,0.478,0.304,0.164,0.114
Deebo Samuel Sr.,WR,25,SF,144.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.836,0.942,0.887,0.781,0.653,0.484,0.318,0.194,0.130
Jalen Nailor,WR,25,LV,146.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.642,0.941,0.893,0.795,0.667,0.517,0.352,0.226,0.160
Jauan Jennings,WR,26,MIN,147.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.398,0.920,0.905,0.812,0.693,0.535,0.367,0.256,0.179
Jalen McMillan,WR,26,TB,151.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.196,0.871,0.921,0.842,0.730,0.589,0.422,0.303,0.228
Sean Tucker,RB,24,TB,180.0,103.2,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.094,0.709,0.901,0.802,0.660,0.496,0.302
Emanuel Wilson,RB,24,SEA,183.0,102.5,-34.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.033,0.538,0.914,0.821,0.690,0.533,0.340
Geno Smith,QB,10,NYJ,193.0,245.0,-36.5,0.000,0.000,0.036,0.655,0.998,1.000,1.000,0.997,0.994,0.988,0.971,0.953,0.900,0.875,0.827,0.818
Aaron Rodgers,QB,10,PIT,195.0,244.5,-37.0,0.000,0.000,0.002,0.303,0.951,1.000,1.000,0.998,0.992,0.986,0.970,0.957,0.910,0.880,0.835,0.826
Jacoby Brissett,QB,10,ARI,196.0,244.2,-37.2,0.000,0.000,0.000,0.041,0.684,0.992,0.999,0.997,0.990,0.986,0.970,0.955,0.907,0.884,0.842,0.832
Stefon Diggs,WR,27,,153.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.744,0.929,0.857,0.750,0.605,0.436,0.323,0.243
Travis Hunter,WR,27,JAX,154.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.561,0.927,0.852,0.752,0.604,0.442,0.336,0.251
Denzel Boston,WR,27,CLE,162.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.372,0.929,0.888,0.812,0.699,0.553,0.449,0.356
Kayshon Boutte,WR,27,NE,163.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.215,0.907,0.901,0.830,0.711,0.579,0.471,0.380
Omar Cooper Jr.,WR,27,NYJ,167.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.828,0.916,0.853,0.747,0.597,0.495,0.414
Antonio Williams,WR,27,WAS,169.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.682,0.926,0.862,0.760,0.640,0.535,0.442
Adonai Mitchell,WR,27,NYJ,170.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.507,0.913,0.867,0.770,0.640,0.533,0.447
Tre Tucker,WR,27,LV,175.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.317,0.903,0.885,0.801,0.689,0.602,0.515
Kimani Vidal,RB,25,LAC,198.0,98.8,-38.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.357,0.921,0.877,0.792,0.669,0.490
Demond Claiborne,RB,25,MIN,200.0,98.2,-39.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.177,0.882,0.891,0.806,0.693,0.516
Isaac TeSlaa,WR,28,DET,181.0,108.0,-43.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.175,0.846,0.913,0.845,0.740,0.658,0.580
Malik Washington,WR,28,MIA,182.0,107.8,-43.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.736,0.913,0.855,0.753,0.676,0.595
Calvin Ridley,WR,28,TEN,184.0,107.2,-43.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.562,0.909,0.852,0.761,0.692,0.613
Jaylin Noel,WR,28,HOU,185.0,107.0,-44.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.363,0.895,0.859,0.763,0.696,0.625
Jerry Jeudy,WR,28,CLE,187.0,106.5,-44.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.196,0.838,0.866,0.786,0.716,0.650
Rashod Bateman,WR,28,BAL,189.0,106.0,-45.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.739,0.875,0.795,0.724,0.652
Darnell Mooney,WR,28,NYG,190.0,105.8,-45.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.581,0.878,0.816,0.750,0.671
Ryan Flournoy,WR,28,DAL,191.0,105.5,-45.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.384,0.850,0.804,0.741,0.671
Tre Harris,WR,29,LAC,192.0,105.2,-45.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.225,0.801,0.818,0.748,0.676
Tank Dell,WR,29,HOU,194.0,104.8,-46.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.101,0.696,0.825,0.760,0.697
Zachariah Branch,WR,29,ATL,197.0,104.0,-47.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.041,0.544,0.833,0.781,0.721
